SOURCE,DESTINATION,MAP_URL
girls hostel,SVPM office/Pharmacy Building,https://www.google.com/maps/embed?pb=!1m28!1m12!1m3!1d3524.9860433563586!2d74.49649834265254!3d18.137101538135965!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m13!3e6!4m5!1s0x3bc3a7993ac2d5ed%3A0xd8c93645fbe0645!2sGirls%20Hostel(Old)%2C%204FPX%2BM66%2C%20Malegaon%20Budruk%2C%20Maharashtra%20413115!3m2!1d18.1366648!2d74.4980023!4m5!1s0x3bc3a733588029df%3A0x24c0458db414da42!2sSVPM;s%20College%20Of%20Pharmacy%2C%20Malegaon%20Budruk%2C%20Maharashtra!3m2!1d18.1375383!2d74.49916139999999!5e1!3m2!1sen!2sin!4v1649769233683!5m2!1sen!2sin
boys hostel,svpm gate,https://www.google.com/maps/embed?pb=!1m28!1m12!1m3!1d1762.4907936853588!2d74.49845040803154!3d18.137322646908334!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m13!3e6!4m5!1s0x3bc3a7331355d1e1%3A0xb3b7710b3ec4c16d!2sBoys%20Canteen%2C%204FQX%2BG2H%2C%20Malegaon%20Budruk%2C%20Maharashtra%20413115!3m2!1d18.1388012!2d74.49756119999999!4m5!1s0x3bc3a167c2f059a9%3A0xaab3e377f1250224!2sSVPM%20GATE%20NO%201%2C%20Malegaon%20Budruk%2C%20Maharashtra!3m2!1d18.1360867!2d74.50114289999999!5e1!3m2!1sen!2sin!4v1649772034514!5m2!1sen!2sin
boys hostel,girls hostel,https://www.google.com/maps/embed?pb=!1m27!1m12!1m3!1d3524.970031633296!2d74.49615206468225!3d18.137896037632927!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m12!3e6!4m5!1s0x3bc3a7331355d1e1%3A0xb3b7710b3ec4c16d!2sBoys%20Canteen%2C%204FQX%2BG2H%2C%20Malegaon%20Budruk%2C%20Maharashtra%20413115!3m2!1d18.1388012!2d74.49756119999999!4m4!1s0x0%3A0xd8c93645fbe0645!3m2!1d18.1366648!2d74.4980023!5e1!3m2!1sen!2sin!4v1649771897101!5m2!1sen!2sin
boys hostel,Playground,https://www.google.com/maps/embed?pb=!1m28!1m12!1m3!1d1762.4907936853585!2d74.4979251080316!3d18.13732264690836!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m13!3e6!4m5!1s0x3bc3a7331355d1e1%3A0xb3b7710b3ec4c16d!2sBoys%20Canteen%2C%204FQX%2BG2H%2C%20Malegaon%20Budruk%2C%20Maharashtra%20413115!3m2!1d18.1388012!2d74.49756119999999!4m5!1s0x3bc3a12a7ebaf46d%3A0x74a2314d46e93d78!2sCollege%20Play%20Ground%2C%20Nira-Baramati%20Road%2C%20Malegaon%20Budruk%2C%20Maharashtra!3m2!1d18.1365324!2d74.49998819999999!5e1!3m2!1sen!2sin!4v1649772217894!5m2!1sen!2sin
boys hostel,Cafeteria,https://www.google.com/maps/embed?pb=!1m28!1m12!1m3!1d1762.47861229747!2d74.49680965799944!3d18.138531496908143!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m13!3e6!4m5!1s0x3bc3a7331355d1e1%3A0xb3b7710b3ec4c16d!2sBoys%20Canteen%2C%204FQX%2BG2H%2C%20Malegaon%20Budruk%2C%20Maharashtra%20413115!3m2!1d18.1388012!2d74.49756119999999!4m5!1s0x3bc3a733395a296b%3A0x909f5953f9592008!2sCafeteria%2C%20Malegaon%20Budruk%2C%20Maharashtra!3m2!1d18.138552699999998!2d74.49840739999999!5e1!3m2!1sen!2sin!4v1649772272159!5m2!1sen!2sin
boys hostel,Parking,https://www.google.com/maps/embed?pb=!1m28!1m12!1m3!1d1762.475725671705!2d74.4971313079994!3d18.13881794690812!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m13!3e6!4m5!1s0x3bc3a7331355d1e1%3A0xb3b7710b3ec4c16d!2sBoys%20Canteen%2C%204FQX%2BG2H%2C%20Malegaon%20Budruk%2C%20Maharashtra%20413115!3m2!1d18.1388012!2d74.49756119999999!4m5!1s0x3bc3a7334ec245f7%3A0x5219bb30325a621d!2sParking%2C%20Unnamed%20Road%2C%20Malegaon%20Budruk%2C%20Maharashtra!3m2!1d18.1393678!2d74.498952!5e1!3m2!1sen!2sin!4v1649772434759!5m2!1sen!2sin
boys hostel,Electrical Engg Building,https://www.google.com/maps/embed?pb=!1m28!1m12!1m3!1d3524.939343438818!2d74.49584141468226!3d18.139418687632073!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m13!3e6!4m5!1s0x3bc3a7331355d1e1%3A0xb3b7710b3ec4c16d!2sBoys%20Canteen%2C%204FQX%2BG2H%2C%20Malegaon%20Budruk%2C%20Maharashtra%20413115!3m2!1d18.1388012!2d74.49756119999999!4m5!1s0x3bc3a7335b14fbc5%3A0xb6dc5dafd2a44489!2sElectrical%20Engg%20Department%20SVPM%20COE%2C%20Malegaon%20Budruk%2C%20Maharashtra!3m2!1d18.140275499999998!2d74.497483!5e1!3m2!1sen!2sin!4v1649772515898!5m2!1sen!2sin
boys hostel,Management Building,https://www.google.com/maps/embed?pb=!1m27!1m12!1m3!1d3608.863030591614!2d74.4968926109604!3d18.13958539606332!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m12!3e2!4m5!1s0x3bc3a7331355d1e1%3A0xb3b7710b3ec4c16d!2sBoys%20Canteen%2C%20Malegaon%20Budruk%2C%20Maharashtra!3m2!1d18.1388012!2d74.49756119999999!4m4!1s0x3bc3a0d255555551%3A0x84c7f5fb7a271301!3m2!1d18.1408254!2d74.4972533!5e1!3m2!1sen!2sin!4v1649868730027!5m2!1sen!2sin
boys hostel,College of Engg,https://www.google.com/maps/embed?pb=!1m27!1m12!1m3!1d1762.4703395797876!2d74.49726298546999!3d18.13935241601378!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m12!3e6!4m5!1s0x3bc3a7331355d1e1%3A0xb3b7710b3ec4c16d!2sBoys%20Canteen%2C%204FQX%2BG2H%2C%20Malegaon%20Budruk%2C%20Maharashtra%20413115!3m2!1d18.1388012!2d74.49756119999999!4m4!1s0x3bc3a0cd33c822f3%3A0xaed54077fcb25400!3m2!1d18.139147299999998!2d74.4986887!5e1!3m2!1sen!2sin!4v1649772611725!5m2!1sen!2sin
boys hostel,Diploma COE,https://www.google.com/maps/embed?pb=!1m28!1m12!1m3!1d3524.9647513410764!2d74.49607721468233!3d18.138158037632817!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!4m13!3e6!4m5!1s0x3bc3a7331355d1e1%3A0xb3b7710b3ec4c16d!2sBoys%20Canteen%2C%204FQX%2BG2H%2C%20Malegaon%20Budruk%2C%20Maharashtra%20413115!3m2!1d18.1388012!2d74.49756119999999!4m5!1s0x3bc3a733319ec153%3A0xcdbe3e0d9574bae!2sDIPLOMA%20COLLEGE%20OF%20ENGG.%2C%20Malegaon%20Budruk%2C%20Maharashtra!3m2!1d18.138378499999998!2d74.4990098!5e1!3m2!1sen!2sin!4v1649772687661!5m2!1sen!2sin
